equation, soln_entropy, soln_score
100-1=99,7.114743650198302,2
100-2=98,8.277802269446335,2
100-3=97,8.267645422203401,2
100-4=96,8.308660787555066,3
100-5=95,7.536758677130267,3
100-6=94,8.307062873302243,2
100-7=93,8.258307556097524,3
100-8=92,8.267200794672483,2
100-91=9,6.9683099800624815,3
100-92=8,8.159841795869566,3
100-93=7,8.12728268156081,3
100-94=6,8.176434237760457,3
100-95=5,7.418616238208945,3
100-96=4,8.16604111460069,3
100-97=3,8.105929066296534,4
100-98=2,8.124589293447995,3
100-9=91,7.0687578702761495,3
100-99=1,6.928027260443684,3
100/20=5,6.75015723040924,3
100/2=50,6.882715434998366,3
100/25=4,7.817748205161842,3
200/25=8,7.223305586686001,3
200/40=5,6.744898680979541,3
100/4=25,8.02800216011,3
200/4=50,6.858766862615466,3
300/4=75,7.875615079189158,3
100/50=2,6.754339129323616,3
200/50=4,6.756608753565675,3
300/50=6,6.694689108315708,3
400/50=8,6.689431158516574,3
100/5=20,6.890400195678005,3
200/5=40,6.856269050121269,3
300/5=60,6.781491757524749,3
400/5=80,6.76328655762839,3
300/60=5,6.67539428373321,2
300/6=50,6.786138232958033,3
300/75=4,7.699317321247101,3
600/75=8,7.639688098571617,3
400/80=5,6.656532649185427,2
200/8=25,7.391243418455841,3
400/8=50,6.767347789951947,3
600/8=75,7.797524511182464,3
101-2=99,8.084920747527436,3
101-3=98,8.818950908349176,3
101-4=97,8.785237465911612,3
101-5=96,8.803023994410774,3
101-6=95,8.785715729714543,2
101-7=94,8.802706849004696,3
101-8=93,8.782130832462444,4
101-92=9,7.935941226657154,3
101-93=8,8.673640977507606,3
101-94=7,8.639263565559261,3
101-95=6,8.644641670217077,3
101-96=5,8.634753397600743,3
101-97=4,8.639917629795425,3
101-98=3,8.630659885954945,3
101-9=92,8.097924520220708,2
101-99=2,7.952652453773955,3
201/3=67,8.912659638539795,3
301/43=7,8.097252969041554,3
201/67=3,8.687436201519313,2
301/7=43,8.246535225023687,3
801/89=9,7.181076329825478,3
801/9=89,7.363732432451314,3
102-3=99,8.526938456192022,2
102-4=98,9.24399061968566,2
102-5=97,9.181405719450064,2
102-6=96,8.578472166464334,2
102-7=95,9.186278958463811,3
102-8=94,9.234406537481794,3
102-93=9,8.367516037292944,3
102-94=8,9.106218724977785,3
102-95=7,9.032859657002628,3
102-96=6,8.45504070342857,3
102-97=5,9.029694490219434,3
102-98=4,9.088819760902302,3
102-9=93,8.517172553473008,3
102-99=3,8.381866913915605,3
102/17=6,8.36075715679344,3
102/2=51,7.990596498351486,2
102/3=34,8.407756743400837,3
102/34=3,8.1525356774632,3
102/51=2,7.850567722680863,3
102/6=17,8.59378167831078,3
402/6=67,8.250735950510226,2
402/67=6,8.039927660862222,2
602/7=86,8.196852659182793,3
702/78=9,7.91167954107194,3
602/86=7,8.018765959623275,3
702/9=78,8.127936625528264,3
103-4=99,8.514913047241677,3
103-5=98,9.19244978306114,3
103-6=97,9.17359953475593,2
103-7=96,9.193692239441184,3
103-8=95,9.170231142483946,4
103-94=9,8.357328356162313,3
103-95=8,9.047997277275364,3
103-96=7,9.02380572566843,3
103-97=6,9.04509520319592,4
103-98=5,9.026779987223408,3
103-9=94,8.530997779086972,3
103-99=4,8.394385294378798,3
203/29=7,8.156745438625434,3
603/67=9,7.943304873285006,3
203/7=29,8.383453906825864,3
603/9=67,8.138358457496642,3
104-5=99,8.48187248693371,3
104-6=98,9.244901729786102,2
104-7=97,8.491066925128877,4
104-8=96,9.236650558957304,3
104-95=9,8.316513821043026,3
104-96=8,9.103758116044274,3
104-97=7,8.353160005614413,3
104-98=6,9.093795921868558,3
104-9=95,8.487879759095376,4
104-99=5,8.352076423492008,4
104/13=8,8.42197036010897,3
104/2=52,8.463048127727399,3
104/26=4,8.23522004839178,3
204/34=6,8.24588212436671,3
204/3=68,8.98354280425998,3
304/38=8,7.437590166611637,3
104/4=26,8.479953661276696,3
204/4=51,8.36435839134069,3
304/4=76,8.3200476810563,3
204/51=4,8.210635196406924,3
104/52=2,8.285448131578667,3
504/56=9,7.96018958422129,3
204/6=34,8.409139198984796,3
504/63=8,8.696950154762085,2
204/68=3,8.746138592965403,2
504/6=84,8.264096589250753,3
504/72=7,8.000514810715341,3
304/76=4,8.106965288883169,3
504/7=72,8.199174808154583,3
104/8=13,8.626946943298822,3
304/8=38,7.609031836758463,3
504/84=6,8.110575121125745,3
504/8=63,8.843096182284484,3
704/8=88,7.21369681700902,3
704/88=8,7.043675873052354,3
504/9=56,8.173776691862804,3
105-6=99,8.487751360196196,3
105-7=98,9.157579485597372,3
105-8=97,9.130406128398304,4
105-96=9,8.324065590550518,3
105-97=8,8.999765294277019,3
105-98=7,8.987513684258614,3
105-9=96,8.506380030598873,2
105-99=6,8.373387196304735,3
105/15=7,7.697774012640264,3
105/21=5,7.735450405713895,3
105/3=35,7.718317626547181,3
105/35=3,7.500578586126496,3
205/41=5,8.129995649381966,3
405/45=9,7.410345310608283,3
105/5=21,7.898473094078944,3
205/5=41,8.29788349352035,3
305/5=61,8.2404817802776,3
405/5=81,8.221416008725754,3
305/61=5,8.09228598319153,3
105/7=15,7.918749429570113,3
405/81=5,8.072561580799665,3
405/9=45,7.552924182774004,2
106-7=99,8.49112533304187,3
106-8=98,8.52649321407623,2
106-97=9,8.31905839274876,3
106-98=8,8.400114564116143,3
106-9=97,8.490858227153886,3
106-99=7,8.35708902585143,3
106/2=53,8.983404471920412,3
306/34=9,8.11336558373174,3
306/51=6,8.127687495433099,3
106/53=2,8.792155929133472,3
406/58=7,8.63726705016919,2
306/6=51,8.264882363204643,3
406/7=58,8.864663051753757,3
306/9=34,8.305674698545905,3
107-8=99,8.418975164888924,3
107-98=9,8.250391360054271,4
107-9=98,8.447568897861016,4
107-99=8,8.318730861257803,3
207/23=9,8.219570138067317,4
207/3=69,8.912783488047369,3
207/69=3,8.680448003645703,2
207/9=23,8.395682882603992,3
108-9=99,7.496810908280079,3
108-99=9,7.362364667685006,3
108/12=9,8.362735121948583,3
108/18=6,7.741875118940258,3
108/2=54,9.030410710307423,3
208/26=8,7.575432181622516,3
108/27=4,8.801565364823405,3
108/3=36,8.439410573362121,3
108/36=3,8.16663536875337,3
108/4=27,9.033837389227324,3
308/44=7,8.125434614456946,3
208/4=52,8.429933378494642,3
308/4=77,8.183658051175255,3
408/51=8,8.112422716927417,3
208/52=4,8.291065495201233,3
108/54=2,8.809816569995409,3
108/6=18,7.990325119879381,3
408/6=68,7.602235472666602,2
408/68=6,7.400909236226471,2
308/7=44,8.297796952015608,4
608/76=8,7.353652144135737,3
308/77=4,8.022818425024441,3
208/8=26,7.788703613420905,3
408/8=51,8.239844003736437,3
608/8=76,7.51561302008192,3
108/9=12,8.608487264366108,3
609/7=87,8.083459875061639,3
609/87=7,7.900752986395047,3
10+10=20,6.765370289108427,3
20+10=30,7.220251909930251,4
30+10=40,7.225296059346269,4
40+10=50,7.211801557491476,3
50+10=60,7.173493992325855,3
60+10=70,7.159884006876256,3
70+10=80,7.100085449302389,4
80+10=90,7.035451650406934,4
10+11=21,7.088228097543114,3
20+11=31,8.068076448047808,3
30+11=41,8.104008869898053,3
40+11=51,8.105687228439097,3
50+11=61,8.069318505059186,3
60+11=71,8.056982912537665,3
70+11=81,8.001524815531628,3
80+11=91,7.918527948043849,3
10+12=22,7.482926366637964,3
20+12=32,7.916645470041079,3
30+12=42,8.798951676471061,3
40+12=52,8.82007931462446,2
50+12=62,8.78744535297968,2
60+12=72,8.77800420285915,3
70+12=82,8.727654512068964,3
80+12=92,8.653320725645514,3
10+13=23,8.26394895887457,3
20+13=33,7.805242603271816,3
30+13=43,7.805216241833755,3
40+13=53,8.71806401412774,3
50+13=63,8.689292516360226,3
60+13=73,8.646254924731513,3
70+13=83,8.60750101377629,3
80+13=93,8.568849293724584,3
10+14=24,8.34260618922412,3
20+14=34,8.751475563621032,3
30+14=44,7.859016270417126,3
40+14=54,7.833449499598632,3
50+14=64,8.695062252219744,3
60+14=74,8.693918586839665,3
70+14=84,8.646451300785843,3
80+14=94,8.596669252625695,3
10+15=25,8.238084573909589,3
20+15=35,8.671782944521759,3
30+15=45,8.661705311608847,3
40+15=55,7.758617453177743,4
50+15=65,7.69619292780293,3
60+15=75,8.573047352836923,3
70+15=85,8.545661675695332,3
80+15=95,8.496240704773088,3
10+16=26,8.271849877919905,3
20+16=36,8.693841907343984,3
30+16=46,8.694872497326736,2
